# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿吖锕錒
chang	常场倡偿厂唱尝敞昌猖畅肠伥娼嫦徜怅惝昶氅苌菖阊鬯鲳仩倀償嘗嚐場廠悵暢淐琩瑒腸萇裮鋹鋿錩閶韔鯧鱨鼚仧僘兏厰塲晿椙焻瑺瓺甞畼膓蟐誯鏛锠镸鲿
chao	朝吵嘲巢抄潮炒超钞怊晁焯耖勦弨樔漅焣牊眧窲罺訬轈鄛鈔仦仯巐巣欩煼觘謿麨鼂鼌
che	车彻扯掣撤澈坼屮砗徹撦烢硨硩莗車迠伡俥偖勶唓爡瞮聅蛼頙
chen	尘忱晨沉臣衬趁辰郴陈嗔宸抻榇琛碜谌谶龀儭嚫塵墋愖捵揨梣樄櫬煁疢瞋磣綝縝茞莐蔯螴襯諃諶謓讖賝贂踸鈂鍖陳鷐麎齔夦敐曟瘎硶莀薼訦趂趻軙迧醦霃齓
cheng	成乘呈城惩承撑橙澄秤称程诚逞骋丞埕塍晟枨柽瞠蛏裎酲铖偁宬峸庱悜懲掁撐朾棖棦橕檉浾湞溗澂牚珵琤碀稱竀脀脭荿蟶誠赬郕鋮鏿饓騁騬乗侱僜堘塖娍徎憆憕挰摚椉檙泟洆瀓爯珹畻睈穪窚筬絾緽罉赪鏳鐣阷靗頳鯎
chi	侈吃尺弛持斥池炽痴翅耻赤迟驰齿傺叱哧啻嗤墀媸彳敕瘛眵笞篪茌蚩螭褫豉踟饬魑鸱呎喫恥懘抶摛攡欼歭湁漦熾瓻痸瘈癡瞝箎絺翨胣胵荎蚇蚳袲誺謘貾趍跮遫遲鉓鉹飭饎馳鴟鶒鷘麶黐齒齝侙勅勑卶叺噄垑妛岻彨彲恜慗憏杘歯灻烾痓硳竾筂粚翄翤肔腟袳裭訵赿趩遅遟銐雴鵄
chong	虫充冲宠崇忡憧舂艟茺铳寵憃揰沖浺爞珫緟罿翀蝩蟲衝蹖銃隀嘃崈徸摏漴褈
chou	丑仇愁抽畴瞅稠筹绸臭踌酬俦帱惆瘳雠偢儔吜嬦幬怞懤搊杻杽栦椆殠燽犨疇篘籌紬絒綢菗薵裯讎躊醜雔丒侴嚋犫皗矁臰讐遚酧醻魗
chu	出储初厨处搐楚橱滁畜矗础触躇锄除雏亍刍怵憷杵楮樗绌蜍褚蹰黜俶儊儲埱媰幮廚摴敊斶檚櫥歜滀濋犓珿琡礎篨絀耡臅芻蒢蓫藸處觸諔豖貙趎踀躕鄐鉏鋤雛鶵齣傗処嘼岀拀椘榋橻櫉欪璴竌竐蒭蕏蟵豠閦齭齼
chua	歘
