# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿吖锕錒
ji	几鸡机伎冀击剂即及吉圾基妓姬嫉季寂寄己忌急悸技挤既极棘汲济激畸疾祭积稽箕籍级纪继绩缉肌脊蓟藉计讥记辑迹际集饥丌乩亟佶偈剞叽咭哜唧墼屐岌嵇嵴彐戟戢掎暨楫殛洎犄玑畿瘠矶稷笄笈羁芨芰荠蒺蕺虮觊赍跻跽霁骥髻鲚鲫麂齑丮伋偮刉劑勣嘰嚌堲塈塉妀姞嶯幾庴彶徛忣惎懻揤撠擊擠敧旡暩枅極槉機橶檕櫅毄泲湒漃漈潗濈濟瀱狤璣痵癠癪磯禨稘穄穊積穖穧簊紀紒級緝績繼罽羇羈耤膌臮茍茤蔇蕀薊薺蘮蘻虀螏蟣裚襋覬觙觭計記誋諅譏谻趌跡踖蹐蹟躋躤輯轚鄿銈銡錤鏶鐖鑇際隮雞霵霽鞿飢饑驥鬾魕鯚鰶鰿鱀鱭鵋鶺鷑鸄齌齎齏亼亽僟兾刏剤卙卽叝喞嗘坖垍姫峜嵆廭彑愱撃旣曁朞梞槣樭檝檵済焏犱皀皍禝稩筓箿継繋耭艥葪蘎襀覉覊譤賫賷躸郆鍓鑙雦雧韲魢鱾鳮鶏鷄鹡
jia	家价佳假加嘉夹嫁架枷甲稼茄荚贾钾颊驾伽岬恝戛浃珈痂瘕笳胛葭蛱袈跏迦郏铗镓傢價唊夾婽幏徦扴抸斝梜椵榎檟毠泇浹犌猳玾耞莢蛺裌豭貑賈跲郟鉀鉿鋏鎵頰駕鴶鵊麚乫圿埉忦戞拁斚榢槚糘腵鉫頬餄鿼
jian	见间件俭健兼减剑剪坚奸尖建拣捡柬检歼涧渐溅煎监硷碱笺简箭缄肩舰艰茧荐贱践鉴键饯僭囝戋戬搛枧楗毽湔牮犍睑笕缣翦腱菅蒹裥謇谏谫趼踺蹇锏鞯鲣鹣俴儉劍劗堅堿姦寋幵惤戔戩挸揀揃撿暕栫椷榗檢櫼殲洊減湕漸澗濺瀳瀸熞熸牋猏珔瑊瑐監瞷瞼礛筧箋簡籛糋緘縑繭艦艱菺葌葥蔪蕑薦藆虃螹袸襉襺見諓諫譾豜賤踐轞鋻鍵鐱鑑鑒鑯鑳間鞬韉餞餰鬋鰎鰹鳽鵳鶼鹼麉倹冿剣剱劎劒劔囏墹姧弿彅徤擶旔梘検椾樫橺殱瀐瀽玪睷碊磵礀礆篯絸繝臶蕳蠒襇覵覸詃謭譼豣賎趝釼鍳鏩鐗鐧鑬韀馢鳒鹸鹻
jiang	僵匠奖姜将桨江浆疆蒋讲酱降洚犟礓糨绛缰耩茳豇傋將嵹弶彊槳橿殭漿獎絳翞膙蔣薑螿袶講謽醬韁顜勥匞壃夅奨奬弜摪摾櫤滰畕畺疅糡繮葁螀醤鱂鳉
jiao	交侥剿叫娇搅教椒浇焦狡矫礁窖绞缴胶脚蕉角轿较郊酵铰饺骄佼僬噍姣峤徼挢敫湫皎艽茭蛟跤醮鲛鹪僥儌劋嘂嘄噭嬌嬓嶕嶠恔憍憿挍捁摷撟攪敿斠曒滘潐澆灚煍燋獥珓皦皭矯穚窌笅簥絞繳腳膠膲蟜蟭譑譥趭較轇轎釂鉸鐎餃驕鮫鱎鵁鷦鷮呌嘦孂峧嶣徺撹敎敽晈暞櫵湬漖烄燞璬纐臫芁茮藠虠訆賋踋隦鵤
jie	界姐介借劫届戒截捷接揭杰桔洁疥皆睫秸竭结节芥街解诫阶卩喈嗟婕孑拮桀疖碣羯蚧讦诘颉骱鲒倢傑劼吤媎尐屆岊岕崨嵥巀幯悈昅椄楬楶榤檞湝滐潔犗玠疌痎癤砎節結絜菨蛶蝍蝔蠽衱袺褯訐詰誡謯踕迼鉣鍻階鞂鞊鮚鶛丯偼刦刧刼卪喼堦堺媘媫嫅嶻庎徣掲掶擑擮杢桝楐櫭毑煯琾畍礍稭脻莭蓵蜐蠘蠞衸觧誱鎅飷魝魪
jin	今金近仅劲尽巾斤晋津浸烬禁筋紧襟谨进锦靳卺噤堇妗廑槿瑾矜缙荩衿觐赆钅馑伒僅僸儘勁嚍埐堻墐嬧寖嶜巹惍搢晉枃殣溍濜煡燼珒璡璶盡祲紟緊縉菫蓳藎覲觔謹賮贐進釿錦饉侭兓凚劤厪唫壗嫤歏浕漌濅琎琻瑨矝砛荕釒鹶黅齽
jing	经京井兢净境径惊敬景晶痉睛竞竟粳精茎荆警镜靖静颈鲸儆刭婧弪憬旌泾獍肼胫腈菁迳阱靓丼俓倞凈剄婛巠幜弳徑憼旍暻桱汫涇淨璟璥痙竫競經脛荊莖蟼逕鏡靚靜頸驚鯨鵛鶁鶄麠鼱亰傹坓坕坙妌婙宑曔梷橸汬浄瀞燝猄璄秔稉穽竧竸経聙葏誩踁頚麖
jiong	炯窘冂扃炅迥冏囧坰泂浻煚熲燛絅褧駉侰僒冋埛澃烱煛綗蘏蘔逈颎駫
jiu	就九旧久厩咎揪救灸玖疚究纠臼舅酒韭僦啾柩桕赳阄鬏鸠鹫勼廄慦捄揂揫摎朻樛殧氿牞糾舊萛鬮鯦鳩鷲麔丩乆乣倃匓匛匶奺廏廐杦柾欍汣糺紤舏镹韮齨
ju	举俱具剧句咀局居巨惧拒拘据沮炬狙疽矩聚菊距踞锯鞠驹倨屦掬椐榉榘橘犋琚窭苣苴莒裾讵趄踽遽醵钜锔雎鞫飓龃侷僪劇匊埧壉姖娵寠屨岠崌怐怚懅懼挶據梮椇椈櫸泃洰涺淗湨澽焗犑狊痀砠秬窶筥粔罝耟腒舉蒟蘜虡蚷蜛袓詎豦貗趜跙跼踘躆輂郹鉅鋦鋸鐻閰陱颶駏駒駶驧鮈鵙鵴鶋鶪鼰鼳齟乬倶冣凥勮啹埾婅婮巈巪弆怇愳抅拠挙擧昛檋欅歫毩毱泦烥爠眗簴粷聥艍襷諊跔蹫躹邭鮔鴡
juan	倦卷娟捐眷绢鹃桊涓狷蠲鄄锩镌隽帣捲焆獧睊睠絭絹縳罥脧臇菤蔨裐錈鐫雋鵑劵勌勬呟埍奆姢巻慻淃瓹羂鎸飬餋
jue	倔决嚼抉掘撅攫爵绝觉诀劂厥噘孓崛桷橛爝獗珏矍蕨觖谲蹶镢傕匷屩彏憰戄捔殌決泬玃玦玨瘚絕臄芵蕝虳蚗蟨覺觼訣譎貜赽趉趹蹻躩鈌鐍钁駃鴃鶌鷢亅刔勪孒屫嶥弡憠挗撧斍橜欔欮氒灍焳熦爑爴瑴疦矡砄絶蟩覐覚蹷逫鐝鴂龣
jun	俊军君均峻浚竣菌郡钧骏捃皲麇呁寯晙桾棞濬焌燇珺畯皸碅箘莙葰蚐蜠袀軍鈞鍕餕駿鮶鵔鵘儁埈姰懏攈攟汮皹箟覠銁銞陖馂鲪鵕麏麕
ka	卡咖喀佧咔胩擖鉲垰衉裃
kai	开凯慨揩楷剀垲忾恺蒈铠锎锴凱剴勓塏愒愷愾暟欬烗輆鍇鎎鎧開闓颽嘅奒嵦炌炏鐦闿
kan	看刊勘坎堪槛砍侃戡瞰莰阚龛埳墈崁嵁檻欿歁矙磡竷衎轗闞顑龕偘冚塪惂栞輡
kang	亢康慷扛抗炕糠伉钪闶匟囥嫝摃漮犺邟鈧鏮閌嵻忼槺砊穅粇躿鱇
kao	拷烤考靠尻栲犒铐攷洘銬丂髛鮳鯌鲓
ke	可渴克刻坷壳客柯棵磕科苛课颗嗑岢恪氪溘珂疴瞌稞窠缂蝌轲钶锞颏骒髁勀匼堁嵑嵙嶱搕敤榼樖殼牁犐砢緙翗艐薖課趷軻鈳顆騍勊娔尅愙揢渇炣碦礊礚胢萪醘
kei	剋
ken	啃垦恳肯裉墾懇掯豤錹齦肎肻褃
keng	吭坑铿挳牼硜硻誙銵鍞鏗阬劥妔摼硁
kong	空孔恐控倥崆箜悾涳硿錓鞚埪躻鵼
kou	口寇扣抠叩眍筘芤蔻彄摳滱瞉簆釦鷇冦剾劶宼敂瞘窛蔲
ku	哭库枯窟苦裤酷刳喾堀绔骷嚳庫桍狜瘔矻褲趶跍俈圐崫廤扝焅秙絝袴郀鮬
kua	垮夸挎胯跨侉姱舿誇銙骻咵
kuai	快侩块筷哙狯脍蒯郐儈噲塊廥旝獪膾鄶鱠凷圦墤巜擓糩鲙
kuan	宽款髋寬窾臗髖寛欵歀窽鑧
kuang	况匡旷框狂眶矿筐哐圹夼纩诓诳贶邝劻壙恇懭曠況洭爌狅矌礦穬絖纊誆誑貺軠軦鄺鵟儣匩卝岲忹懬抂昿眖砿硄筺絋軖軭邼鉱鋛鑛黋
kui	亏傀奎岿愧溃盔窥葵馈魁匮喟喹夔悝愦揆暌睽篑聩蒉蝰跬逵馗刲嘳媿嬇巋憒戣楏楑樻櫆欳潰煃犪窺簣聧聵腃蕢藈蘬虧蹞躨鄈鍷鐀闚頄頍頯顝餽饋騤尯巙晆瞆籄聭蘷虁謉鍨鑎骙
kun	困坤捆昆悃琨醌锟阃髡鲲壼崑晜梱涃焜猑睏硱稛綑菎裍褌錕閫騉鯤鶤堃堒壸婫尡崐潉熴瑻祵稇蜫裈裩貇閸髠髨鵾鹍
kuo	廓扩括阔蛞懖擴筈萿葀闊霩鞹韕髺鬠拡挄桰濶鞟頢
la	啦喇垃拉腊蜡辣剌旯瘌砬邋揧搚柆楋翋臘菈藞蠟鑞鞡鬎嚹揦攋溂爉瓎磖臈蝋蝲辢镴鯻
lai	来莱赖崃徕涞濑癞睐籁赉铼來唻崍庲徠棶淶瀨癩睞箂籟萊藾賚賴郲錸騋鯠鶆俫倈婡梾櫴瀬猍琜筙襰逨頼顂鵣麳
lan	兰婪懒拦揽栏滥澜烂篮缆蓝览谰阑岚斓榄漤罱褴镧嚂壈嬾嵐惏懶攔攬斕欄欖欗浨濫瀾灆灠灡爁爛爦籃籣糷纜藍蘭襤襴覽譋讕躝醂鑭闌顲儖厱囒囕孄孏幱懢擥燗燣燷爤璼瓓礷繿葻襕襽覧钄韊
lang	廊朗榔浪狼琅郎啷稂莨蒗螂锒阆埌塱崀桹欴烺瑯硠筤蜋誏鋃鎯閬駺勆唥嫏斏朖朤樃艆蓈蓢躴郒郞鿶鿾
lao	老佬劳姥捞涝烙牢酪唠崂栳痨耢醪铑铹僗勞咾嘮嫪嶗恅撈橯浶澇狫癆簩荖蟧軂轑銠鐒顟労哰嗠憥憦朥珯硓磱窂粩耂耮蛯躼髝鮱鿲
le	了乐仂叻泐鳓扐樂氻砳竻阞鰳忇楽玏簕艻韷餎饹
lei	累儡勒垒擂泪磊类肋蕾镭雷嘞嫘檑缧羸耒诔酹儽壘壨樏櫐櫑欙淚灅瓃畾癗磥礌礧礨禷絫縲纇纍罍蔂藟蘱蘲虆蠝誄讄轠銇鐳鑸頛類鸓傫厽塁攂洡涙矋纝腂蕌蘽錑鑘靁頪颣鱩鼺
leng	冷棱楞塄愣倰堎崚睖稜薐踜輘碐
li	里力丽例俐傈利励历厉厘吏哩李栗梨沥漓犁狸理璃痢砾礼离立篱粒荔莉隶鲤黎俚俪呖唳喱坜娌嫠戾枥栎溧澧猁疠疬砺笠篥粝缡罹苈莅蓠藜蛎蜊蠡詈跞轹逦郦醴锂雳骊鲡鳢鹂黧儮儷兣剺劙勵厤厲唎嚦塛壢娳孋孷屴岦廲悷慄搮攦攭斄曆曞朸杝梩樆櫟櫪欐欚歷沴浬濿瀝灕犡琍瑮瓅瓥癘皪盭砅磿礪礫禮禲秝筣籬粴糎糲綟縭纚苙菞蒚蒞蔾藶蘺蚸蜧蝷蠣蠫裡褵觻謧讈豊貍赲躒轢轣邐酈醨鋰鎘鑗隸離靂靋驪鬁鯉鯬鱧鱱鱳鱺鴗鵹鷅鸝麗麜凓刕剓厯嚟囄囇婯峢峲巁悡悧攊暦栃栛梸棃棙檪櫔歴涖爄爏犂珕瓈瓑癧盠睝礰穲竰脷艃茘荲蛠蟍蟸蠇裏邌鉝鋫錅鏫隷鯏鳨
lia	俩倆
lian	帘廉怜恋敛涟炼练联脸莲连链镰奁楝殓潋濂琏臁蔹蠊裢裣鲢僆嗹堜奩嬚憐戀摙斂槤殮浰湅溓漣澰瀲煉璉磏簾練縺羷翴聯臉萰蓮薕蘞褳襝覝謰蹥連鄻鍊鎌鏈鐮鬑鰱亷劆匲匳噒媡嫾慩梿櫣濓熑燫瑓籢籨纞聨聫聮蘝螊錬鰊
liang	两亮凉晾梁粮粱良谅辆量墚椋踉魉俍兩啢喨悢樑涼湸糧綡緉裲諒輛輬魎両哴唡掚煷脼蜽輌辌鍄鿄鿌
liao	僚寥廖撂撩料潦燎疗聊辽镣嘹寮尥獠缭蓼钌鹩嫽屪嵺嶚憀憭敹暸橑漻炓療瞭窷簝繚膋膫蟟豂遼鄝釕鐐镽飉鷯叾尞尦嶛廫曢爎爒璙竂藔賿蹘蹽髎
lie	列劣烈猎裂冽咧埒捩洌趔躐鬣儠哷姴峛擸栵犣獵睙脟茢蛚迾颲鮤鴷劽埓巤挒挘毟浖烮煭猟聗鬛鱲
lin	临凛吝拎林淋琳磷赁邻霖鳞啉嶙廪懔檩瞵粼膦蔺躏辚遴麟亃僯凜壣廩懍暽橉檁潾焛燐璘甐疄痳碄箖繗翷臨菻藺賃蹸躪轔鄰鏻閵驎鱗冧厸崊恡悋撛斴晽澟瀶獜癛癝粦躙轥隣麐
ling	令伶凌另岭灵玲羚菱铃陵零领龄呤囹柃棂泠瓴绫翎聆苓蛉酃鲮坽夌姈婈嶺彾昤櫺欞淩澪炩爧狑琌皊砱笭綾舲蔆蕶蘦裬詅軨醽鈴錂霝靈領駖鯪鴒齡刢孁岺掕朎瀮燯祾秢竛紷蓤衑袊跉閝阾霊霗霛魿鸰鹷麢齢龗
liu	六刘柳榴流溜琉留瘤硫馏旒浏熘绺遛鎏锍镏骝鹨劉塯媹嬼嵧廇懰瀏珋磟綹罶翏蓅藰蟉裗蹓鎦鏐雡霤飀飂餾騮鰡鶹鷚麍嚠旈栁桞桺橊橮沠澑熮瑠瑬璢畂畄畱疁癅磂羀蒥鋶鐂镠飅飗駠駵驑鬸鹠
lo	囖
long	咙垄拢窿笼聋陇隆龙垅栊泷珑癃砻胧茏儱哢嚨壟巃徿攏曨朧梇櫳瀧瓏矓礱篢籠聾蘢蠪蠬襱豅躘鏧鑨隴靇鸗龍龒壠屸嶐巄昽槞湰滝漋爖眬礲竉竜篭蕯贚霳驡龓
lou	娄搂楼漏篓陋偻喽嵝瘘耧蒌蝼镂髅僂嘍塿婁嶁廔慺摟樓漊熡瘺瞜簍耬艛蔞螻謱鏤鞻髏剅屚溇甊瘻軁遱
lu	路侣卢卤吕屡履庐录律戮掳旅氯滤潞炉率碌禄绿缕芦虏虑赂铝陆露颅驴鲁鹿麓噜垆捋撸栌榈橹氇泸渌漉璐稆簏胪膂舻褛轳辂辘逯镥闾鲈鸬鹭侶僇儢勴呂嚕嚧坴垏塶壚屢嵂廘廬彔慮挔摝擄擼攎梠櫓櫚櫨氀氌淕淥滷濾瀘熝爐玈琭璷甪盝盧睩硉磠祣祿稑穋穭簬籙籚絽綠縷繂纑罏膟膢臚艣艫菉葎蓾蔍蕗藘蘆虜螰蠦褸謢賂踛蹗輅轆轤郘醁鋁錄錴鏀鏕鐪鑢鑪閭陸顱騄驢魯鯥鱸鵱鷜鷺鸕鹵侓剹勎勠圥塷娽寽峍捛曥枦椂樐樚櫖澛瀂焒爈獹瓐矑硵穞箓箻簵簶粶緑膐膔舮艪虂觮趢鈩録鏴鑥馿騼髗魲鵦黸
luan	乱卵孪峦挛滦娈栾脔銮鸾亂圞奱孌孿巒攣曫欒灤癵羉臠鑾鸞圝灓癴虊釠鵉龻
lue	掠略锊擽鋝圙畧稤鋢
lun	仑伦抡沦纶论轮囵侖倫圇崙惀掄棆淪溣碖稐綸菕蜦論踚輪錀陯埨婨崘磮耣腀鯩
luo	洛箩络罗萝落螺裸逻锣骆骡倮摞椤泺漯猡珞瘰脶荦蠃镙雒儸剆囉峈欏濼犖玀籮絡纙羅腡臝蓏蘿覶邏鏍鑼駱騾鮥鵅鸁啰攞曪洜癳硦笿罖覙覼躶頱饠驘鴼
m	呣
ma	马吗嘛妈玛码蚂骂麻杩犸蟆傌嗎嘜媽嬤孖榪溤犘瑪痲碼礣禡罵螞鎷馬鬕鷌亇嫲獁睰祃蔴蟇遤閁駡鰢
mai	买卖埋脉迈麦劢唛荬霾勱嘪脈薶買賣邁霢鷶麥佅売蕒衇霡鿏鿺
man	慢曼满漫瞒蔓蛮谩馒墁幔熳缦螨镘鞔颟鳗僈姏嫚屘悗慲槾樠滿獌睌瞞矕縵蠻謾鄤鏝顢饅鬗鬘鰻摱満澷蔄蘰蟎襔鏋
mang	忙氓盲芒茫莽漭硭蟒邙厖哤壾娏尨庬杗汒牻痝硥笀茻蛖鋩駹吂恾杧浝牤狵莾蠎釯铓
mao	猫冒卯帽毛矛茂茅貌贸铆锚峁懋旄昴泖牦瑁瞀耄茆蝥蟊袤髦兞冇堥媢枆楙毷氂渵犛眊罞芼萺蓩蝐貓貿軞鄚鄮酕鉚錨髳鶜乮冃冐夘愗戼暓柕皃笷覒
me	么嚜麼嚒濹癦
mei	没妹媒媚寐昧枚梅每煤玫眉美酶镁霉嵋楣浼湄猸莓袂镅魅鹛呅堳塺媄媺徾挴攗沒沬渼煝燘瑂痗眛禖穈脢腜苺蘪蝞郿鋂鎂韎黴凂坆娒嬍嵄抺旀栂楳槑毎湈珻睂睸矀祙篃脄葿跊躾鎇鬽鶥黣
men	们门闷懑扪焖钔們呇悶懣捫暪燜璊菛虋鍆門椚玧閅
meng	孟梦檬猛盟萌蒙锰勐懵朦甍瞢礞艋艨虻蜢蠓儚夢幪懞曚氋濛瓾甿矇莔蕄蘉鄳鄸錳霥霿饛鸏鼆冡夣懜掹擝橗溕獴矒蝱靀顭鯍鯭鹲
mi	米密幂弥泌眯秘糜蜜觅谜迷醚靡冖咪嘧宓弭敉汨猕祢糸縻脒芈蘼谧麋冞冪塓峚幎幦彌攠榓沕渳滵漞濔瀰灖熐爢獼瓕瞇祕禰羃羋葞蔝蔤覓覛謎謐醾銤鸍麊麛鼏侎孊宻戂擟樒櫁沵洣淧濗眫簚粎蒾藌袮覔詸醿釄镾鿹
mian	面免冕勉娩棉眠绵缅宀沔渑湎眄腼丏偭喕婂媔愐櫋澠矊矏絻綿緬葂蝒鮸麵黽勔嬵杣檰汅矈糆緜臱芇靣麪麫麺
miao	妙庙描渺瞄秒苗藐喵杪淼眇缈邈鹋媌嫹廟玅篎緲鱙庿竗緢鶓
mie	灭蔑乜咩篾蠛幭懱搣滅薎衊覕鱴吀哶孭櫗烕鑖鴓
min	民悯抿敏皿闽岷愍泯珉缗苠闵鳘黾僶刡崏忞怋憫敃敯旻旼暋湣潣琝痻笢簢緡罠蠠鈱錉閔閩冺勄垊姄惽慜捪琘瑉盿砇笽緍鍲鰵鴖
ming	名明命螟铭鸣冥暝溟瞑茗酩姳嫇慏榠洺眳蓂覭詺鄍銘鳴佲凕掵朙椧猽眀
miu	谬謬
mo	墨寞抹摩摸摹末模沫漠磨膜莫蘑陌魔默嫫嬷殁瘼秣耱茉蓦谟貊貘镆馍麽劘嗼塻妺暯枺歾歿瀎爅眽瞙粖糢纆莈藦蛨蟔謨銆鏌靺饃驀髍劰唜嚤嚩嚰圽嫼尛帓帞庅怽懡擵昩橅湐獏皌眜眿瞐砞礳絈謩貃饝魩魹麿黙
mou	某牟谋侔哞眸缪蛑鍪洠瞴繆謀鉾鴾麰劺恈踎
mu	木母亩募墓姆幕慕拇暮牡牧目睦穆仫坶毪沐苜钼峔幙慔楘毣氁炑牳畝砪縸艒莯蚞踇鉧鉬霂鞪凩墲朰狇畆畒畞畮胟雮
na	那呐哪娜拿纳钠捺肭衲镎吶妠拏挐笝納豽貀軜鈉魶乸嗱蒳袦鎿雫靹
nai	奶乃奈氖耐佴柰艿萘鼐倷妳嬭孻摨渿耏螚褦迺釢錼廼熋疓腉
nan	南男难喃囡楠腩蝻赧婻戁抩揇暔柟湳莮萳諵難侽娚枏煵畘遖
nang	囊囔攮曩馕擃灢蠰譨鬞齉乪儾嚢欜饢
nao	脑恼挠淖闹呶垴孬猱瑙硇蛲铙夒峱嶩怓惱撓獶獿碙腦臑蟯譊鐃鬧匘堖嫐巎悩憹碯脳詉閙
ne	呢疒讷眲訥抐
nei	内馁內娞氝腇餒脮錗鮾鯘
nen	嫩恁嫰
neng	能
ng	嗯
ni	你倪匿妮尼拟泥溺腻逆霓伲坭怩旎昵猊睨铌鲵儗堄婗嫟屔惄抳擬晲暱柅檷淣狔秜縌膩臡苨薿蜺觬誽跜輗迡郳鈮隬馜鯢麑齯伱儞埿嬺孴屰愵棿氼眤籾聣聻胒腝蚭貎鿭
nian	年念拈捻撵碾蔫埝廿辇鲇鲶黏卄哖唸姩撚攆涊淰簐跈蹍躎輦鯰焾秊秥艌蹨鮎鵇
niang	娘酿孃釀嬢醸
niao	鸟尿嬲脲茑袅嫋嬝蔦裊褭鳥樢
nie	啮孽捏涅聂镊镍嗫臬蘖蹑陧颞喦嚙囁囓嵲嶭巕摰敜槷櫱篞糱聶臲苶蠥讘踂踗踙躡鎳鑈鑷钀闑隉顳齧噛圼孼帇惗揑枿湼痆籋糵菍錜
nin	您拰囜脌
ning	凝宁拧柠泞狞佞咛甯聍儜嚀嬣寍寧擰檸濘獰聹苧薴鑏鸋侫倿寕寗寜橣澝矃鬡
niu	牛扭纽钮妞忸狃炄紐莥鈕汼牜靵
nong	农弄浓脓侬哝儂噥濃穠繷膿襛農醲齈挊挵檂欁燶癑禯秾蕽辳
nou	耨檽獳羺鎒啂槈譳鐞
nu	女怒努奴孥弩恧胬衄钕驽朒砮笯籹釹駑伮傉搙沑衂
nuan	暖奻渜煖餪煗
nue	疟虐瘧硸
nun	黁
nuo	懦挪糯诺傩喏搦锘儺懧梛橠糑諾逽愞掿搻榒稬穤糥蹃郍
o	哦喔噢
ou	偶呕欧殴沤藕鸥怄瓯耦讴吘嘔慪櫙歐毆漚熰甌腢蕅藲謳鏂鷗齵塸筽膒鴎
pa	啪帕怕爬琶趴杷筢葩帊掱舥袙妑潖皅
pai	徘拍排派湃牌俳哌蒎棑犤簰鎃廹渒猅簲輫
pan	判叛攀潘畔盘盼磐拚泮爿蟠袢襻蹒媻幋搫槃沜洀溿瀊牉盤眅磻縏蒰詊跘蹣鞶頖冸炍畨聁萠鋬鎜鑻鵥
pang	乓庞旁耪胖彷滂螃逄嗙徬舽雱龐厐嫎沗炐肨胮膖覫霶鳑龎
pao	刨咆抛泡炮袍跑匏庖狍疱脬奅拋炰皰砲鞄麃麭垉爮礟礮萢褜軳麅
pei	佩呸培沛胚裴赔配陪帔旆辔醅锫霈伂俖姵怌柸毰浿珮衃賠轡駍嶏斾肧蓜裵阫馷
pen	喷盆湓呠噴歕翸葐喯瓫
peng	朋彭抨捧棚澎烹砰硼碰篷膨蓬鹏嘭堋怦蟛倗剻匉弸恲憉掽椪樥淜漰皏磞篣芃踫軯輣錋鑝閛韸髼鬅鵬塳挷梈椖槰淎熢硑稝竼纄莑蘕蟚韼騯鬔
pi	僻劈匹啤坯屁批披毗琵疲痞皮砒脾譬辟霹丕仳噼圮埤媲庀擗枇淠甓疋癖睥纰罴蚍蜱貔邳郫铍陂陴鼙伓伾嚭岯崥憵揊毘毞潎澼狉礔秠稫紕羆翍膍蚽蚾螷蠯諀釽鈚鈹銔銢錍闢阰駓髬魾鴄鵧鷿噽嚊壀嫓悂抷旇朇炋焷狓疈磇礕秛篺耚肶脴腗苉豼豾鉟錃魮鮍鲏鸊
pian	偏片篇骗犏翩胼谝蹁骈媥楄楩諞貵跰駢騙骿鶣囨腁覑諚賆鍂騈騗魸
piao	漂瓢票飘剽嘌嫖殍瞟缥螵僄彯慓旚犥皫篻縹翲蔈薸醥顠飄魒勡徱闝飃
pie	撇瞥丿氕苤嫳撆暼鐅
pin	品拼聘贫频姘嫔榀牝颦嚬嬪玭矉礗蠙貧頻顰驞娦汖琕穦薲馪
ping	乒凭坪屏平瓶苹萍评俜娉枰鲆呯帡憑泙洴涄玶甹砯竮缾艵荓蓱蘋蛢評軿郱頩凴塀屛岼帲幈慿檘焩甁箳簈聠胓蚲輧鮃
po	坡婆泊泼破粕迫颇魄叵珀皤笸鄱钋钷岥岶昢桲櫇潑烞蒪謈釙鏺頗嘙尀敀洦溌砶蔢酦醗鉕駊
pou	剖掊裒婄抔捊咅哣娝抙犃箁錇
pu	仆圃扑普曝朴浦瀑脯莆菩葡蒲谱铺匍噗攴攵氆溥濮璞蹼镤镨僕墣撲樸潽烳獛瞨纀舖蒱譜酺鋪鏷鐠鯆圑圤巬巭擈暜檏炇穙舗菐諩贌陠
qi	起期其七气乞企凄启器奇契妻岂崎弃戚旗柒栖棋欺歧汽沏泣漆畦砌祁祈脐讫迄骑齐亓俟嘁圻屺岐憩杞桤槭欹汔淇琦琪碛祺綦绮耆芑芪萁萋葺蕲蛴蜞蹊颀骐鳍麒倛僛咠唭啟埼娸婍岓忔忯悽慼懠掑攲旂栔桼棄棨棲榿氣淒湆湇濝玂甈疧盵碕磧磩祇綺緀罊肵臍艩芞藄蘄蚑蚔蚚蛣蟿蠐訖諆諿豈跂踑軝迉邔郪釮錡鏚霋頎騎騏騹鬐鬿魌鯕鰭鵸鶀鶈麡鼜齊亝剘呮唘啓啔噐夡嵜帺愭慽憇捿摖斉斊晵暣棊檱櫀欫気洓炁猉玘璂盀矵碁碶磜禥竒簯簱籏粸紪綥綨緕纃缼萕蜝螧褀褄諬锜闙鲯
qia	恰掐洽葜袷髂冾帢愘殎硈酠圶峠拤跒鞐
qian	前千钱浅乾仟堑嵌扦欠歉潜牵签谦谴迁遣钎钳铅黔佥倩凵岍悭愆慊掮搴椠箝缱肷芊芡茜虔褰钤阡骞仱俔傔僉兛嗛塹墘奷婜媊岒忴慳扲拑掔揵攐攓棈榩槏槧檶櫏汧淺潛灊牽瓩篟簽籤粁綪縴繾羬脥蒨蕁蜸謙譴軡輤遷鈆鈐鉗鉛錢雃靬韆顅騚騝騫鰜鰬黚伣偂儙刋圱圲壍嬱孯嵰悓拪撁攑杄橬欦歬汘濳皘竏箞篏籖膁臤茾蔳蚈諐谸釺銭鎆鏲鑓鬜鬝鵮鹐
qiang	呛墙强抢枪羌腔蔷丬嫱戕戗樯炝羟蜣襁跄锖锵镪唴嗆墏嬙嶈廧強戧搶斨椌槍檣漒熗牄牆瑲繈羥羻薔蘠謒蹌蹡錆鎗鏘鏹嗴墻溬猐獇玱篬繦羗羫艢蔃
qiao	桥乔侨俏峭巧悄撬敲橇瞧窍翘锹鞘劁愀憔樵硗缲荞诮谯跷鞒僑喬嘺墝墽嫶帩幧撽橋毃燆犞磽礄竅繑翹荍菬蕎誚譙趫趬踍蹺躈郻鄡鍬鐰頝骹髜僺嵪槗殻癄硚藮鄥釥鍫鐈陗鞩鞽韒顦髚
qie	且切怯窃妾惬挈箧郄锲厒愜朅洯竊篋緁藒蛪踥鍥鐑鯜匧悏淁穕笡籡聺苆
qin	亲侵勤寝擒沁琴禽秦芹钦吣嗪噙揿檎溱芩螓衾锓唚坅埁嫀寑寢嶔庈慬懃撳斳昑梫欽澿瀙瘽笉綅耹菣菳藽蚙螼親鈙鋟雂靲顉駸鬵鳹吢媇寴嵚懄抋捦搇珡琹菦蠄誛赾鈫骎鮼鵭
