# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿錒吖锕
chang	常場倀倡償唱嘗嚐娼嫦廠徜悵敞昌暢氅猖腸萇鯧仩厂惝昶淐琩瑒菖裮鋹鋿錩閶韔鬯鱨鼚伥偿场尝怅畅肠苌阊鲳仧僘兏厰塲晿椙焻瑺瓺甞畼膓蟐誯鏛锠镸鲿
chao	朝勦吵嘲巢抄晁潮炒超鈔弨怊樔漅焣焯牊眧窲罺耖訬轈鄛钞仦仯巐巣欩煼觘謿麨鼂鼌
che	車坼徹扯掣撤澈屮撦烢硨硩莗迠彻砗车伡俥偖勶唓爡瞮聅蛼頙
chen	塵宸忱晨櫬沉琛疢瞋縝臣襯諶讖趁辰陳儭嗔嚫墋愖抻捵揨梣樄煁磣綝茞莐蔯螴諃謓賝贂踸郴鈂鍖鷐麎齔尘榇碜衬谌谶陈龀夦敐曟瘎硶莀薼訦趂趻軙迧醦霃齓
cheng	成丞乘呈城懲承撐橙澄瞠秤程稱誠逞騁偁埕塍宬峸庱悜掁晟朾棖棦橕檉浾湞溗澂牚珵琤碀竀脀脭荿蟶裎赬郕酲鋮鏿饓騬惩撑枨柽称蛏诚铖骋乗侱僜堘塖娍徎憆憕挰摚椉檙泟洆瀓爯珹畻睈穪窚筬絾緽罉赪鏳鐣阷靗頳鯎
chi	侈叱吃呎啻喫嗤墀尺弛恥持敕斥池熾痴癡笞翅蚩褫豉赤踟遲飭馳魑齒傺哧媸彳懘抶摛攡欼歭湁漦瓻痸瘈瘛眵瞝箎篪絺翨胣胵茌荎蚇蚳螭袲誺謘貾趍跮遫鉓鉹饎鴟鶒鷘麶黐齝炽耻迟饬驰鸱齿侙勅勑卶叺噄垑妛岻彨彲恜慗憏杘歯灻烾痓硳竾筂粚翄翤肔腟袳裭訵赿趩遅遟銐雴鵄
chong	虫蟲充寵崇憧沖舂衝忡憃揰浺爞珫緟罿翀艟茺蝩蹖銃隀冲宠铳嘃崈徸摏漴褈
chou	丑仇儔惆愁抽疇稠籌綢臭裯躊酬醜偢吜嬦幬怞懤搊杻杽栦椆殠燽犨瘳瞅篘紬絒菗薵讎雔俦帱畴筹绸踌雠丒侴嚋犫皗矁臰讐遚酧醻魗
chu	出儲初廚怵杵楚楮櫥歜畜矗礎絀芻處褚觸躇鋤除雛黜齣亍俶儊埱媰幮搐摴敊斶樗檚滀滁濋犓珿琡篨耡臅蒢蓫藸蜍触諔豖貙趎踀躕鄐鉏鶵储刍厨处憷橱础绌蹰锄雏傗処嘼岀拀椘榋橻櫉欪璴竌竐蒭蕏蟵豠閦齭齼
chua	歘
