# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿錒吖锕
huan	喚奐宦寰幻患換桓歡洹渙澴煥環瘓緩豢鍰嚾圜嬛峘懽擐攌浣漶澣犿狟獾瑍瓛睆綄繯羦肒荁萑讙豲貆轘逭郇酄鐶闤雈驩鬟鯇鴅唤奂换欢涣焕环痪缓缳锾鲩喛寏嵈愌梙槵歓烉糫絙萈藧貛鉮镮阛鯶鰀鵍鹮
huang	凰幌徨恍惶慌晃湟煌璜皇磺篁簧肓荒蝗謊遑隍韹黃偟喤堭媓崲巟怳楻榥滉潢炾熀熿獚皝穔篊艎葟蟥衁諻趪鍠鎤餭騜鰉鷬癀谎鳇黄兤塃墴奛宺愰晄曂朚櫎瑝皩縨詤鐄锽鱑
hui	會回匯卉喙彗彙徽恢悔惠慧揮晦暉毀灰燬燴穢繪茴蕙虺蛔詼誨諱賄輝迴麾佪嘒噅噦圚孈徻恚恛憓拻撝楎槥橞檅檓毇洃洄潓澮濊烠煇獩璯痐瘣瞺硊禈篲繢翬翽芔蔧薈薉藱蘳蚘蟪褘譓譭譿豗鏸鐬闠隓隳顪餯鰴会咴哕挥晖毁汇浍烩秽绘缋荟讳诙诲贿辉僡儶噕嚖囘囬婎媈嬒寭屶屷幑廻廽彚恵懳暳櫘殨泋湏滙瀈灳烣璤睳絵翙翚蛕蜖袆詯逥阓靧頮颒鮰
hun	婚昏梡混渾琿葷餛魂倱圂惛慁掍棔殙涽溷睧睯繉觨諢轋閽鼲浑珲荤诨阍馄俒堚忶昬焝碈
huo	活火伙夥惑或濩獲禍穫豁貨霍佸吙嚄捇掝攉曤檴沎湱漷瀖眓矐秮臛藿蠖謋鈥鑊靃騞劐嚯祸耠获货钬锪镬俰剨咟嚿奯旤楇癨矆秳耯艧蒦邩鍃閄
ji	几幾雞机機乩亟伋冀劑勣即及吉唧嘰圾基妓姬嫉季寂寄屐岌嵇己忌急悸戟戢技擊擠既暨棘楫極汲洎激濟犄璣畸畿疾瘠磯祭稷稽積箕籍紀級緝績繼羈肌脊芰薊薺藉覬計記譏跡蹟躋輯際集霽飢饑驥髻麂丌丮伎佶偈偮刉剞咭嚌堲塈塉墼妀姞嶯庴彶徛忣惎懻掎揤撠敧旡暩极枅槉橶檕櫅殛毄泲湒漃漈潗濈瀱狤痵癠癪禨稘穄穊穖穧笄笈簊紒罽羇耤膌臮芨茍茤蒺蔇蕀蕺蘮蘻虀虮螏蟣裚襋觙觭誋諅谻趌跽踖蹐躤轚鄿銈銡錤鏶鐖鑇隮霵鞿鬾魕鯚鰶鰿鱀鱭鵋鶺鷑鸄齌齎齏击剂叽哜嵴彐挤济玑矶积级纪继绩缉羁荠蓟觊计讥记赍跻辑迹际霁饥骥鲚鲫鸡齑亼亽僟兾刏剤卙卽叝喞嗘坖垍姫峜嵆廭彑愱撃旣曁朞梞槣樭檝檵済焏犱皀皍禝稩筓箿継繋耭艥葪蘎襀覉覊譤賫賷躸郆鍓鑙雦雧韲魢鱾鳮鶏鷄鹡
jia	家伽佳假傢價加嘉夾嫁戛架浹甲痂稼胛茄莢葭袈豭賈迦鉀頰駕价唊婽岬幏徦恝扴抸斝枷梜椵榎檟毠泇犌猳玾珈瘕笳耞蛺裌貑跏跲郟鉿鋏鎵鴶鵊麚夹浃荚蛱贾郏钾铗镓颊驾乫圿埉忦戞拁斚榢槚糘腵鉫頬餄鿼
jian	見間件健僭儉兼剪劍囝堅奸姦尖建揀撿柬檢殲毽減湔漸澗濺煎監瞼筧箋箭簡緘縑繭肩腱艦艱荐菅薦諫賤踐鍵鑑鑒韉餞鹼俴劗堿寋幵惤戔戩挸揃搛暕栫椷楗榗櫼洊湕瀳瀸熞熸牋牮犍猏珔瑊瑐瞷礛籛糋翦茧菺葌葥蒹蔪蕑藆虃螹袸襉襺諓謇譾豜趼蹇轞鋻鐱鑯鑳鞬餰鬋鰎鰹鳽鵳鶼麉俭减剑坚戋戬拣捡枧检歼涧渐溅监睑硷碱笕笺简缄缣舰艰裥见谏谫贱践踺鉴锏键间鞯饯鲣鹣倹冿剣剱劎劒劔囏墹姧弿彅徤擶旔梘検椾樫橺殱瀐瀽玪睷碊磵礀礆篯絸繝臶蕳蠒襇覵覸詃謭譼豣賎趝釼鍳鏩鐗鐧鑬韀馢鳒鹸鹻
jiang	僵匠姜將彊槳江漿獎疆絳蔣薑講醬降韁傋嵹弶橿殭洚礓糨翞耩膙茳螿袶謽豇顜奖将桨浆犟绛缰蒋讲酱勥匞壃夅奨奬弜摪摾櫤滰畕畺疅糡繮葁螀醤鱂鳉
jiao	交僥剿叫姣嬌攪教椒澆焦狡皎矯礁窖絞繳腳膠蕉蛟角跤較轎郊酵醮鉸餃驕鮫佼僬儌劋嘂嘄噭嬓嶕嶠徼恔憍憿挍捁摷撟敿斠曒湫滘潐灚煍燋獥珓皦皭穚窌笅簥膲艽茭蟜蟭譑譥趭轇釂鐎鱎鵁鷦鷮侥噍娇峤挢搅敫浇矫绞缴胶脚轿较铰饺骄鲛鹪呌嘦孂峧嶣徺撹敎敽晈暞櫵湬漖烄燞璬纐臫芁茮藠虠訆賋踋隦鵤
jie	界姐介借傑劫嗟孑屆戒截拮捷接揭杰桀桔潔疥皆睫碣竭節結羯芥街解訐詰誡階倢劼吤喈婕媎尐岊岕崨嵥巀幯悈昅椄楬楶榤檞洁湝滐犗玠疌痎癤砎秸絜菨蚧蛶蝍蝔蠽衱袺褯謯踕迼鉣鍻鞂鞊骱鮚鶛卩届疖结节讦诘诫阶颉鲒丯偼刦刧刼卪喼堦堺媘媫嫅嶻庎徣掲掶擑擮杢桝楐櫭毑煯琾畍礍稭脻莭蓵蜐蠘蠞衸觧誱鎅飷魝魪
jin	今金近僅儘勁噤巾斤晉津浸燼瑾盡矜禁筋緊縉襟覲觔謹進錦饉伒僸嚍埐堇堻墐妗嬧寖嶜巹廑惍搢枃槿殣溍濜煡珒璡璶祲紟菫蓳藎衿賮贐釿靳仅劲卺尽晋烬紧缙荩觐谨赆进钅锦馑侭兓凚劤厪唫壗嫤歏浕漌濅琎琻瑨矝砛荕釒鹶黅齽
jing	經京井兢境徑憬敬旌景晶涇淨璟痙睛竟競粳精荊莖菁警逕鏡阱靖靜頸驚鯨丼俓倞儆凈剄婛婧巠幜弳惊憼旍暻桱汫獍璥竫脛蟼靚鵛鶁鶄麠鼱净刭弪径泾痉竞经肼胫腈茎荆迳镜靓静颈鲸亰傹坓坕坙妌婙宑曔梷橸汬浄瀞燝猄璄秔稉穽竧竸経聙葏誩踁頚麖
jiong	炯窘迥冏囧坰扃泂浻炅煚熲燛絅褧駉冂侰僒冋埛澃烱煛綗蘏蘔逈颎駫
jiu	就九舊久咎啾廄揪救柩灸玖疚究糾臼舅赳酒韭鳩僦勼慦捄揂揫摎朻樛殧氿牞萛鬮鯦鷲麔厩旧桕纠阄鬏鸠鹫丩乆乣倃匓匛匶奺廏廐杦柾欍汣糺紤舏镹韮齨
ju	侷俱倨具劇句咀局居屨巨懼拒拘掬據橘沮炬狙疽矩砠聚舉苣莒菊距跼踞遽鉅鋸鞠颶駒齟僪匊埧壉姖娵寠岠崌怐怚懅挶据梮椇椈椐櫸泃洰涺淗湨澽焗犋犑狊琚痀秬窶筥粔罝耟腒苴蒟蘜虡蚷蜛袓裾詎豦貗趄趜跙踘踽躆輂郹醵鋦鐻閰陱雎鞫駏駶驧鮈鵙鵴鶋鶪鼰鼳举剧屦惧榉榘窭讵钜锔锯飓驹龃乬倶冣凥勮啹埾婅婮巈巪弆怇愳抅拠挙擧昛檋欅歫毩毱泦烥爠眗簴粷聥艍襷諊跔蹫躹邭鮔鴡
juan	倦卷娟捐捲涓狷眷絹鐫雋鵑帣焆獧睊睠絭縳罥脧臇菤蔨蠲裐鄄錈桊绢锩镌隽鹃劵勌勬呟埍奆姢巻慻淃瓹羂鎸飬餋
jue	倔劂厥嚼孓崛抉掘攫決爵獗玨絕蕨覺觼訣譎蹶鴃傕匷噘屩彏憰戄捔撅桷橛殌泬爝玃玦瘚矍臄芵蕝虳蚗蟨觖貜赽趉趹蹻躩鈌鐍钁駃鶌鷢决珏绝觉诀谲镢亅刔勪孒屫嶥弡憠挗撧斍橜欔欮氒灍焳熦爑爴瑴疦矡砄絶蟩覐覚蹷逫鐝鴂龣
jun	俊君均峻浚濬竣菌軍郡鈞駿呁寯捃晙桾棞焌燇珺畯皸碅箘莙葰蚐蜠袀鍕餕鮶鵔鵘麇军皲钧骏儁埈姰懏攈攟汮皹箟覠銁銞陖馂鲪鵕麏麕
ka	卡咖喀佧擖鉲咔胩垰衉裃
kai	開凱剴愒愷愾慨揩楷勓塏暟欬烗輆鍇鎎鎧闓颽凯剀垲开忾恺蒈铠锎锴嘅奒嵦炌炏鐦闿
kan	看侃刊勘坎堪崁戡檻瞰砍埳墈嵁欿歁矙磡竷莰衎轗闞顑龕槛阚龛偘冚塪惂栞輡
kang	亢伉康慷扛抗炕糠匟囥嫝摃漮犺邟鈧鏮閌钪闶嵻忼槺砊穅粇躿鱇
kao	拷烤犒考銬靠尻攷栲洘铐丂髛鮳鯌鲓
ke	可渴克刻嗑坷客恪柯棵殼溘瞌磕科稞窠緙苛蝌課軻顆髁勀匼堁岢嵑嵙嶱搕敤榼樖氪牁犐珂砢翗艐薖趷鈳騍壳疴缂课轲钶锞颏颗骒勊娔尅愙揢渇炣碦礊礚胢萪醘
kei	剋
ken	啃墾懇肯齦掯裉豤錹垦恳肎肻褃
keng	吭坑鏗阬挳牼硜硻誙銵鍞铿劥妔摼硁
kong	空倥孔崆恐控硿悾涳箜錓鞚埪躻鵼
kou	口叩寇扣釦彄摳滱瞉筘簆芤蔻鷇抠眍冦剾劶宼敂瞘窛蔲
ku	哭庫枯窟苦褲酷骷刳嚳堀桍狜瘔矻趶跍喾库绔裤俈圐崫廤扝焅秙絝袴郀鮬
kua	垮夸胯誇跨侉姱挎舿銙骻咵
kuai	快儈塊筷膾噲廥旝獪蒯鄶鱠侩哙块狯脍郐凷圦墤巜擓糩鲙
kuan	寬款髖窾臗宽髋寛欵歀窽鑧
kuang	劻匡壙曠框況狂眶礦筐誑夼恇懭洭爌狅矌穬絖纊誆貺軠軦鄺鵟况哐圹旷矿纩诓诳贶邝儣匩卝岲忹懬抂昿眖砿硄筺絋軖軭邼鉱鋛鑛黋
kui	傀喟夔奎愧揆潰盔睽窺簣葵虧逵餽魁刲嘳媿嬇巋悝憒戣暌楏楑樻櫆欳煃犪聧聵腃蕢藈蘬跬蹞躨鄈鍷鐀闚頄頍頯顝饋馗騤亏匮喹岿愦溃窥篑聩蒉蝰馈尯巙晆瞆籄聭蘷虁謉鍨鑎骙
kun	困坤崑捆昆梱焜琨睏綑錕髡壼悃晜涃猑硱稛菎裍褌閫騉鯤鶤醌锟阃鲲堃堒壸婫尡崐潉熴瑻祵稇蜫裈裩貇閸髠髨鵾鹍
kuo	廓括擴蛞闊懖筈萿葀霩鞹韕髺鬠扩阔拡挄桰濶鞟頢
la	剌啦喇垃拉臘蠟辣邋揧搚旯柆楋瘌砬翋腊菈藞蜡鑞鞡鬎嚹揦攋溂爉瓎磖臈蝋蝲辢镴鯻
lai	來徠瀨癩睞籟萊賴唻崍庲棶淶箂藾賚郲錸騋鯠鶆崃徕来涞濑癞睐籁莱赉赖铼俫倈婡梾櫴瀬猍琜筙襰逨頼顂鵣麳
lan	婪嵐懶攔攬斕欄欖濫瀾爛籃籣纜藍蘭襤覽闌嚂壈嬾惏欗浨灆灠灡爁爦糷襴譋讕躝醂鑭顲兰岚懒拦揽斓栏榄滥漤澜烂篮缆罱蓝褴览谰镧阑儖厱囒囕孄孏幱懢擥燗燣燷爤璼瓓礷繿葻襕襽覧钄韊
lang	廊朗榔浪狼琅瑯螂郎啷埌塱崀桹欴烺硠稂筤莨蒗蜋誏鋃鎯閬駺锒阆勆唥嫏斏朖朤樃艆蓈蓢躴郒郞鿶鿾
lao	老佬勞嘮姥撈烙牢癆酪僗咾嫪嶗恅栳橯浶澇狫簩荖蟧軂轑醪銠鐒顟劳唠崂捞涝痨耢铑铹労哰嗠憥憦朥珯硓磱窂粩耂耮蛯躼髝鮱鿲
le	了樂叻仂扐氻泐砳竻阞鰳乐鳓忇楽玏簕艻韷餎饹
lei	累儡勒壘嫘擂淚磊縲羸耒肋蕾鐳雷類儽壨樏檑櫐櫑欙灅瓃畾癗磥礌礧礨禷絫纇纍罍蔂藟蘱蘲虆蠝誄讄轠酹銇鑸頛鸓嘞垒泪类缧诔镭傫厽塁攂洡涙矋纝腂蕌蘽錑鑘靁頪颣鱩鼺
leng	冷愣楞稜倰堎崚棱睖薐踜輘塄碐
li	里裡力例俐俚儷兣利勵厲吏哩唳喱壢娌慄戾曆李栗梨欐歷浬溧漓澧瀝犁狸理琍璃痢癘礪礫禮立笠籬粒糎罹荔莉蒞蜊蠡蠣貍邐酈醴鋰鎘隸離靂驪鯉麗黎儮剺劙厘厤唎嚦塛娳嫠孋孷屴岦廲悷搮攦攭斄曞朸杝梩樆櫟櫪欚沴濿灕犡猁瑮瓅瓥皪盭砅磿禲离秝筣篥篱粴糲綟縭纚苙菞蒚蔾藜藶蘺蚸蜧蝷蠫褵觻詈謧讈豊赲躒轢轣醨鑗靋鬁鯬鱧鱱鱳鱺鴗鵹鷅鸝麜黧丽俪傈励历厉呖坜枥栎沥疠疬砺砾礼粝缡苈莅蓠蛎跞轹逦郦锂隶雳骊鲡鲤鳢鹂凓刕剓厯嚟囄囇婯峢峲巁悡悧攊暦栃栛梸棃棙檪櫔歴涖爄爏犂珕瓈瓑癧盠睝礰穲竰脷艃茘荲蛠蟍蟸蠇裏邌鉝鋫錅鏫隷鯏鳨
lia	倆俩
lian	奩帘廉憐戀斂楝殮漣濂瀲煉簾練聯臉蓮連鍊鏈鐮鰱僆嗹堜嬚怜摙槤浰湅溓澰璉磏縺羷翴萰薕蘞蠊褳襝覝謰蹥鄻鎌鬑奁恋敛殓涟潋炼琏练联脸臁莲蔹裢裣连链镰鲢亷劆匲匳噒媡嫾慩梿櫣濓熑燫瑓籢籨纞聨聫聮蘝螊錬鰊
liang	兩亮晾梁樑涼粱糧良諒輛量魎俍啢喨悢椋湸綡緉裲踉輬两凉墚粮谅辆魉両哴唡掚煷脼蜽輌辌鍄鿄鿌
liao	僚嘹寥寮廖撩料暸潦燎療瞭繚聊遼嫽尥屪嵺嶚憀憭撂敹橑漻炓獠窷簝膋膫蓼蟟豂鄝釕鐐镽飉鷯疗缭辽钌镣鹩叾尞尦嶛廫曢爎爒璙竂藔賿蹘蹽髎
lie	冽列劣咧捩洌烈獵裂鬣儠哷埒姴峛擸栵犣睙脟茢蛚趔躐迾颲鮤鴷猎劽埓巤挒挘毟浖烮煭猟聗鬛鱲
lin	凜吝懍拎林淋燐琳璘痳磷臨藺賃躪轔遴鄰霖鱗麟亃僯壣嶙廩暽橉檁潾焛甐疄瞵碄箖粼繗翷膦菻蹸鏻閵驎临凛啉廪懔檩蔺赁躏辚邻鳞冧厸崊恡悋撛斴晽澟瀶獜癛癝粦躙轥隣麐
ling	令伶凌另嶺昤櫺泠玲綾羚翎聆苓菱蔆蛉鈴陵零靈領鴒齡呤囹坽夌姈婈岭彾柃欞淩澪炩爧狑琌瓴皊砱笭舲蕶蘦裬詅軨酃醽錂霝駖鯪棂灵绫铃领鲮龄刢孁岺掕朎瀮燯祾秢竛紷蓤衑袊跉閝阾霊霗霛魿鸰鹷麢齢龗
liu	六劉柳榴流溜瀏琉留瘤硫遛霤餾塯媹嬼嵧廇懰旒珋磟綹罶翏蓅藰蟉裗蹓鎏鎦鏐雡飀飂騮鰡鶹鷚麍刘浏熘绺锍镏馏骝鹨嚠旈栁桞桺橊橮沠澑熮瑠瑬璢畂畄畱疁癅磂羀蒥鋶鐂镠飅飗駠駵驑鬸鹠
lo	囖
long	嚨壟攏朧瓏矓窿籠聾隆隴龍儱哢巃徿曨梇櫳瀧癃礱篢蘢蠪蠬襱豅躘鏧鑨靇鸗龒咙垄垅拢栊泷珑砻笼聋胧茏陇龙壠屸嶐巄昽槞湰滝漋爖眬礲竉竜篭蕯贚霳驡龓
lou	嘍婁摟樓漏瘺簍螻鏤陋髏僂塿嶁廔慺漊熡瞜耬艛蔞謱鞻偻喽娄嵝搂楼瘘篓耧蒌蝼镂髅剅屚溇甊瘻軁遱
lu	路侶僇呂嚕屢履廬律慮戮擄旅櫓櫚氯滷濾瀘爐率盧碌祿穋綠縷膂臚蘆虜褸賂鋁錄鑪閭陸露顱驢魯鱸鷺鹵鹿麓儢勴嚧坴垏塶壚嵂廘彔挔捋摝擼攎梠櫨氀氌淕淥漉潞熝玈琭璐璷甪盝睩硉磠祣稑穭簏簬籙籚絽繂纑罏膟膢艣艫菉葎蓾蔍蕗藘螰蠦謢踛蹗輅轆轤逯郘醁錴鏀鏕鐪鑢騄鯥鵱鷜鸕侣卢卤吕噜垆屡庐录掳撸栌榈橹氇泸渌滤炉禄稆绿缕胪舻芦虏虑褛赂轳辂辘铝镥闾陆颅驴鲁鲈鸬鹭侓剹勎勠圥塷娽寽峍捛曥枦椂樐樚櫖澛瀂焒爈獹瓐矑硵穞箓箻簵簶粶緑膐膔舮艪虂觮趢鈩録鏴鑥馿騼髗魲鵦黸
luan	亂卵孿巒攣灤鑾鸞圞奱孌曫欒癵羉臠乱娈孪峦挛栾滦脔銮鸾圝灓癴虊釠鵉龻
lue	掠略擽鋝锊圙畧稤鋢
lun	侖倫崙掄淪綸論輪圇惀棆溣碖稐菕蜦踚錀陯仑伦囵抡沦纶论轮埨婨崘磮耣腀鯩
luo	儸囉洛漯犖玀珞籮絡羅落蘿螺裸邏鏍鑼雒駱騾剆峈摞欏濼瘰纙腡臝蓏蠃覶鮥鵅鸁倮椤泺猡箩络罗脶荦萝逻锣镙骆骡啰攞曪洜癳硦笿罖覙覼躶頱饠驘鴼
m	呣
ma	馬嗎嘛媽嬤瑪痲碼罵螞蟆麻傌嘜孖榪溤犘礣禡鎷鬕鷌吗妈杩犸玛码蚂马骂亇嫲獁睰祃蔴蟇遤閁駡鰢
mai	買賣埋脈邁霾麥勱嘪薶霢鷶买劢卖唛脉荬迈麦佅売蕒衇霡鿏鿺
man	慢屘幔曼滿漫瞞縵蔓蠻鏝饅鰻僈墁姏嫚悗慲槾樠熳獌睌矕謾鄤鞔顢鬗鬘满瞒缦蛮螨谩镘颟馒鳗摱満澷蔄蘰蟎襔鏋
mang	忙杗氓盲芒茫莽蟒厖哤壾娏尨庬汒漭牻痝硥硭笀茻蛖邙鋩駹吂恾杧浝牤狵莾蠎釯铓
mao	貓兞冒卯帽懋毛泖犛瑁矛耄茂茅茆貌貿鉚錨髦冇堥媢旄昴枆楙毷氂渵眊瞀罞芼萺蓩蝐蝥蟊袤軞鄚鄮酕髳鶜峁牦猫贸铆锚乮冃冐夘愗戼暓柕皃笷覒
me	么麼嚜嚒濹癦
mei	沒妹媒媚寐昧枚梅楣每沬湄煤玫眉美莓袂鎂霉魅黴呅堳塺媄媺嵋徾挴攗浼渼煝燘瑂痗眛禖穈脢腜苺蘪蝞郿鋂韎没猸酶镁镅鹛凂坆娒嬍嵄抺旀栂楳槑毎湈珻睂睸矀祙篃脄葿跊躾鎇鬽鶥黣
men	們門悶懣捫燜呇暪璊菛虋鍆们懑扪焖钔门闷椚玧閅
meng	夢孟懵朦檬濛猛甍盟矇艋萌蒙虻蜢錳儚幪懞曚氋瓾甿瞢礞艨莔蕄蘉蠓鄳鄸霥霿饛鸏鼆勐梦锰冡夣懜掹擝橗溕獴矒蝱靀顭鯍鯭鹲
mi	米冪咪密弭彌敉汨泌瀰瞇祕秘糜糸羋蜜覓謎謐迷靡麋冞嘧塓宓峚幎幦攠榓沕渳滵漞濔灖熐爢獼瓕眯禰縻羃葞蔝蔤蘼覛醚醾銤鸍麊麛鼏冖幂弥猕祢脒芈觅谜谧侎孊宻戂擟樒櫁沵洣淧濗眫簚粎蒾藌袮覔詸醿釄镾鿹
mian	面偭免冕勉娩棉沔湎澠眠綿緬麵丏喕婂媔愐櫋眄矊矏絻葂蝒鮸黽宀渑绵缅腼勔嬵杣檰汅矈糆緜臱芇靣麪麫麺
miao	妙廟描杪渺眇瞄秒緲苗藐邈喵媌嫹淼玅篎鱙庙缈鹋庿竗緢鶓
mie	咩滅篾蔑乜幭懱搣薎蠛衊覕鱴灭吀哶孭櫗烕鑖鴓
min	民岷愍憫抿敏泯湣皿閔閩僶刡崏忞怋敃敯旻旼暋潣琝痻笢簢緡罠苠蠠鈱錉悯珉缗闵闽鳘黾冺勄垊姄惽慜捪琘瑉盿砇笽緍鍲鰵鴖
ming	名明冥命暝瞑茗螟酩銘鳴姳嫇慏榠洺溟眳蓂覭詺鄍铭鸣佲凕掵朙椧猽眀
miu	謬谬
mo	墨寞抹摩摸摹末模歿沫漠磨秣糢膜茉莫蘑謨貊陌驀魔默劘嗼塻妺嫫暯枺歾瀎爅瘼眽瞙粖纆莈藦蛨蟔貘銆鏌靺饃髍嬷殁耱蓦谟镆馍麽劰唜嚤嚩嚰圽嫼尛帓帞庅怽懡擵昩橅湐獏皌眜眿瞐砞礳絈謩貃饝魩魹麿黙
mou	某牟眸繆謀侔哞洠瞴蛑鉾鍪鴾麰缪谋劺恈踎
mu	木母募墓姆幕慕拇暮沐牡牧畝目睦穆苜坶峔幙慔楘毣氁炑牳砪縸艒莯蚞踇鉧鉬霂鞪亩仫毪钼凩墲朰狇畆畒畞畮胟雮
na	那吶哪娜拿捺納鈉妠拏挐笝肭衲豽貀軜魶呐纳钠镎乸嗱蒳袦鎿雫靹
nai	奶乃奈妳氖耐迺佴倷嬭孻摨柰渿耏艿螚褦釢錼鼐萘廼熋疓腉
nan	南男難喃楠赧囡婻戁抩揇暔柟湳腩莮萳蝻諵难侽娚枏煵畘遖
nang	囊曩囔擃攮灢蠰譨鬞齉馕乪儾嚢欜饢
nao	腦呶惱撓瑙蟯鐃鬧夒孬峱嶩怓淖猱獶獿碙臑譊垴恼挠硇脑蛲铙闹匘堖嫐巎悩憹碯脳詉閙
ne	呢訥眲疒讷抐
nei	內餒娞氝腇内馁脮錗鮾鯘
nen	嫩恁嫰
neng	能
ng	嗯
ni	你倪匿妮尼怩擬旎暱泥溺睨膩逆霓儗坭堄婗嫟屔惄抳昵晲柅檷淣狔猊秜縌臡苨薿蜺觬誽跜輗迡郳鈮隬馜鯢麑齯伲拟腻铌鲵伱儞埿嬺孴屰愵棿氼眤籾聣聻胒腝蚭貎鿭
nian	年卄唸廿念拈捻撚攆涊碾輦黏哖姩淰簐蔫跈蹍躎鯰埝撵辇鲇鲶焾秊秥艌蹨鮎鵇
niang	娘孃釀酿嬢醸
niao	鳥嬝尿裊嫋嬲蔦褭脲茑袅鸟樢
nie	囁孽捏涅聶臬躡鎳鑷齧喦嚙囓嵲嶭巕摰敜槷櫱篞糱臲苶蠥讘踂踗踙鑈钀闑隉顳啮嗫聂蘖蹑镊镍陧颞噛圼孼帇惗揑枿湼痆籋糵菍錜
nin	您拰囜脌
ning	佞凝嚀寧擰檸濘獰苧儜嬣宁寍泞甯聹薴鑏鸋咛拧柠狞聍侫倿寕寗寜橣澝矃鬡
niu	牛妞忸扭紐鈕炄狃莥纽钮汼牜靵
nong	儂噥弄濃穠膿農繷襛醲齈侬农哝浓脓挊挵檂欁燶癑禯秾蕽辳
nou	耨檽獳羺鎒啂槈譳鐞
nu	女怒努奴弩駑孥恧朒砮笯籹衄釹胬钕驽伮傉搙沑衂
nuan	暖煖奻渜餪煗
nue	瘧虐疟硸
nun	黁
nuo	懦挪糯諾儺喏懧搦梛橠糑逽傩诺锘愞掿搻榒稬穤糥蹃郍
o	哦喔噢
ou	偶嘔歐毆甌耦藕鷗吘慪櫙漚熰腢蕅藲謳鏂齵呕怄欧殴沤瓯讴鸥塸筽膒鴎
pa	啪帕怕杷爬琶葩趴帊掱舥袙筢妑潖皅
pai	俳徘拍排派湃牌棑犤簰蒎鎃哌廹渒猅簲輫
pan	判叛拚攀槃潘畔盤盼磐蟠蹣媻幋搫沜泮洀溿瀊爿牉眅磻縏蒰袢襻詊跘鞶頖盘蹒冸炍畨聁萠鋬鎜鑻鵥
pang	乓彷徬旁滂胖螃龐嗙耪舽逄雱庞厐嫎沗炐肨胮膖覫霶鳑龎
pao	刨匏咆庖拋泡炮皰砲袍跑奅炰脬鞄麃麭抛狍疱垉爮礟礮萢褜軳麅
pei	佩呸培沛珮胚裴賠轡配陪伂俖姵帔怌旆柸毰浿衃醅霈駍赔辔锫嶏斾肧蓜裵阫馷
pen	噴盆呠歕湓翸葐喷喯瓫
peng	朋彭抨捧棚澎烹砰硼碰篷膨蓬踫鵬倗剻匉堋弸怦恲憉掽椪樥淜漰皏磞篣芃蟛軯輣錋鑝閛韸髼鬅嘭鹏塳挷梈椖槰淎熢硑稝竼纄莑蘕蟚韼騯鬔
pi	丕仳僻劈匹啤埤媲屁批披枇毗琵疋疲痞癖皮睥紕脾譬辟鈹闢陂陴霹鼙伓伾嚭圮坯岯崥庀憵揊擗毘毞淠潎澼狉甓砒礔秠稫羆翍膍蚍蚽蚾蜱螷蠯諀貔邳郫釽鈚銔銢錍阰駓髬魾鴄鵧鷿噼纰罴铍噽嚊壀嫓悂抷旇朇炋焷狓疈磇礕秛篺耚肶脴腗苉豼豾鉟錃魮鮍鲏鸊
pian	偏片篇翩胼駢騙媥楄楩諞貵跰蹁骿鶣犏谝骈骗囨腁覑諚賆鍂騈騗魸
piao	剽嫖漂瓢瞟票縹飄僄嘌彯慓旚殍犥皫篻翲蔈薸螵醥顠魒缥飘勡徱闝飃
pie	撇瞥嫳氕苤丿撆暼鐅
pin	品姘嬪拼牝聘貧頻顰嚬玭矉礗蠙驞嫔榀贫频颦娦汖琕穦薲馪
ping	乒坪娉屏平憑枰瓶萍蘋評俜呯帡泙洴涄玶甹砯竮缾艵苹荓蓱蛢軿郱頩凭评鲆凴塀屛岼帲幈慿檘焩甁箳簈聠胓蚲輧鮃
po	叵坡婆泊潑珀破粕迫鄱釙頗魄岥岶昢桲櫇烞皤笸蒪謈鏺泼钋钷颇嘙尀敀洦溌砶蔢酦醗鉕駊
pou	剖裒婄抔捊掊咅哣娝抙犃箁錇
pu	仆僕匍噗圃扑撲普曝朴樸浦溥濮瀑璞脯莆菩葡蒲譜蹼鋪墣氆潽烳獛瞨纀舖蒱酺鏷鐠鯆攴攵谱铺镤镨圑圤巬巭擈暜檏炇穙舗菐諩贌陠
qi	起期其七气氣乞企俟啟器圻奇契妻岐崎悽慼憩戚旗杞柒棄棋棲槭欺歧汽泣淇淒漆琦琪畦砌磧祁祇祈祺綺耆臍萋訖豈蹊迄錡騎鰭麒齊亓倛僛凄咠唭嘁埼娸婍屺岓忔忯懠掑攲旂栔栖桼棨榿欹汔沏湆湇濝玂甈疧盵碕磩綦緀罊肵艩芑芞萁葺藄蘄蚑蚔蚚蛣蜞蟿蠐諆諿跂踑軝迉邔郪釮鏚霋頎騏騹鬐鬿魌鯕鵸鶀鶈麡鼜启岂弃桤碛绮脐芪蕲蛴讫颀骐骑鳍齐亝剘呮唘啓啔噐夡嵜帺愭慽憇捿摖斉斊晵暣棊檱櫀欫気洓炁猉玘璂盀矵碁碶磜禥竒簯簱籏粸紪綥綨緕纃缼萕蜝螧褀褄諬锜闙鲯
qia	恰洽冾帢愘掐殎硈袷酠髂葜圶峠拤跒鞐
